elapsed,phase,n29_shares,n31_shares,hashrate_khs,difficulty,share_gap_s
241.14559388160706,SPIRAL,490,245,2335.7938919483568,4.2626004015897074e-06,14433.989696741104
248.7078242301941,SPIRAL,490,245,2316.669781576251,4.2626004015897074e-06,14442.11796760559
256.83612275123596,SPIRAL,490,245,2299.064878356304,4.2626004015897074e-06,14449.718569278717
264.4368577003479,SPIRAL,490,245,2268.548168,4.2626004015897074e-06,14457.25460934639
271.9727656841278,SPIRAL,490,245,2248.548168,4.2626004015897074e-06,14465.255156040192
279.9734077453613,SPIRAL,490,245,2212.5481679999994,4.2626004015897074e-06,14472.807282686234
287.5256175994873,SPIRAL,491,245,2186.554473999999,4.3175556269874555e-06,14406.124407291412
295.0292408466339,SPIRAL,491,245,2167.3108529999986,4.3175556269874555e-06,14413.653758764267
302.55859303474426,SPIRAL,491,245,2149.814151999999,4.3175556269874555e-06,14421.194805383682
310.09973406791687,SPIRAL,491,245,2112.5676699999995,4.3175556269874555e-06,14429.25621843338
318.16116166114807,SPIRAL,491,245,2082.8241949999992,4.3175556269874555e-06,14436.787051677704
325.69194412231445,SPIRAL,491,245,2058.0906809999997,4.3175556269874555e-06,14444.36066865921
333.265508890152,SPIRAL,491,245,2051.093834,4.3175556269874555e-06,14452.345044612885
341.24992990493774,SPIRAL,491,245,2027.6273079999996,4.3175556269874555e-06,14460.058285236359
348.9631245136261,SPIRAL,491,245,1993.2808979999998,4.3175556269874555e-06,14467.537571191788
356.4424138069153,SPIRAL,491,245,1959.0634339999997,4.3175556269874555e-06,14475.069941520691
363.97481966018677,SPIRAL,491,245,1945.3653449999997,4.3175556269874555e-06,14482.5997133255
371.5047540664673,SPIRAL,491,245,1912.5289699999998,4.3175556269874555e-06,14490.887615203857
379.792475938797,SPIRAL,491,245,1902.9598269999997,4.3175556269874555e-06,14498.516048669815
387.4208564758301,SPIRAL,492,245,1880.0794329999997,1.683257795220043e-06,14404.254466295242
395.0075867176056,SPIRAL,492,245,1861.1990389999999,1.870287488541392e-06,14401.514297485352
403.035187959671,SPIRAL,493,245,1846.3186449999996,1.870287488541392e-06,14409.167615413666
410.68869161605835,SPIRAL,493,245,1832.8784479999995,1.870287488541392e-06,14416.661700963974
418.1825964450836,SPIRAL,493,245,1812.8784479999995,1.870287488541392e-06,14424.279803037643
425.80088210105896,SPIRAL,493,245,1792.8784479999995,1.870287488541392e-06,14431.819115161896
433.34001636505127,SPIRAL,493,245,1764.8784479999993,1.870287488541392e-06,14439.90649318695
441.4273750782013,SPIRAL,493,245,1734.196985999999,1.870287488541392e-06,14447.627406597137
449.14828300476074,SPIRAL,494,245,1715.5155239999992,2.0780976413459163e-06,14405.49422621727
